list_year,Condo,Four Family,Single Family,Three Family,Two Family
2006,107938.0,125574.0,173016.0,113157.0,126421.0
2007,123038.0,160218.0,187210.0,129976.0,139433.0
2008,145216.0,183166.0,201487.0,128810.0,154371.0
2009,157137.0,178377.0,212546.0,134653.0,159757.0
2010,165141.0,180174.0,218937.0,135693.0,154634.0
2011,172476.0,167266.0,227602.0,157492.0,166418.0
2012,154895.0,181996.0,203869.0,127428.0,151026.0
2013,140926.0,175689.0,191641.0,117125.0,145171.0
2014,139937.0,167863.0,192926.0,117881.0,144167.0
2015,131651.0,149098.0,189037.0,117434.0,136701.0
2016,132121.0,167468.0,192537.0,133370.0,144358.0
2017,126954.0,165306.0,183425.0,129659.0,134019.0
2018,123297.0,156054.0,182810.0,126301.0,136992.0
2019,132267.0,163056.0,192330.0,120867.0,139440.0
2020,130686.0,150705.0,182080.0,120897.0,135688.0
2021,124001.0,167213.0,178415.0,139898.0,147217.0
