list_year,Condo,Four Family,Single Family,Three Family,Two Family
2006,8853,95,24545,912,1815
2007,5866,70,18444,476,1216
2008,5231,49,16418,325,765
2009,6534,48,19424,399,861
2010,4193,47,14666,260,598
2011,3403,50,12613,214,461
2012,4286,49,17455,301,674
2013,5687,83,19085,477,960
2014,6885,88,24214,552,1213
2015,6835,121,24092,610,1325
2016,7609,86,25633,551,1303
2017,6349,140,24864,686,1537
2018,8181,166,27630,1033,2049
2019,9204,199,32742,1098,2063
2020,11502,233,34983,1413,2920
2021,10360,308,28758,1373,2777
