list_year,Condo,Four Family,Single Family,Three Family,Two Family
2006,223989.0,296001.0,311474.0,258732.0,259881.0
2007,223138.0,279684.0,294046.0,241439.0,233274.0
2008,214381.0,266179.0,278518.0,197558.0,217334.0
2009,220932.0,232156.0,286554.0,194205.0,215155.0
2010,227117.0,241487.0,289103.0,196664.0,205844.0
2011,229676.0,238229.0,296887.0,206760.0,217267.0
2012,220977.0,267451.0,283735.0,198422.0,210666.0
2013,220458.0,269696.0,278492.0,186549.0,215064.0
2014,218348.0,258731.0,280478.0,192050.0,219604.0
2015,207070.0,245023.0,276358.0,206389.0,215107.0
2016,205820.0,273874.0,285611.0,212674.0,230378.0
2017,195932.0,265676.0,275953.0,228817.0,220613.0
2018,198581.0,267040.0,279165.0,229993.0,230610.0
2019,214565.0,292428.0,299704.0,242024.0,242274.0
2020,233991.0,299932.0,326712.0,265548.0,262274.0
2021,245725.0,347164.0,345337.0,303558.0,297119.0
