town,Condo,Four Family,Single Family,Three Family,Two Family
Andover,0.0,0.0,175743.0,0.0,164530.0
Ansonia,95548.0,156221.0,135552.0,137505.0,124410.0
Ashford,39182.0,0.0,140249.0,0.0,173430.0
Avon,174981.0,0.0,280364.0,223150.0,215420.0
Barkhamsted,0.0,0.0,171999.0,194580.0,181707.0
Beacon Falls,153262.0,0.0,160984.0,149335.0,162106.0
Berlin,163153.0,231200.0,189867.0,158200.0,162698.0
Bethany,244720.0,0.0,225080.0,195190.0,285370.0
Bethel,174011.0,211608.0,229905.0,221894.0,215894.0
Bethlehem,215640.0,146600.0,206503.0,0.0,227369.0
Bloomfield,158788.0,0.0,150961.0,0.0,131144.0
Bolton,273800.0,0.0,190410.0,0.0,169523.0
Bozrah,0.0,0.0,143822.0,0.0,110588.0
Branford,123301.0,224933.0,215040.0,225186.0,203893.0
Bridgeport,72082.0,168193.0,130595.0,154138.0,136748.0
Bridgewater,165580.0,0.0,305157.0,0.0,0.0
Bristol,79349.0,139728.0,133566.0,133114.0,107240.0
Brookfield,156783.0,0.0,268113.0,0.0,254966.0
Brooklyn,97809.0,157026.0,141354.0,132526.0,120986.0
Burlington,131985.0,160930.0,225156.0,237300.0,163087.0
Canaan,0.0,0.0,187947.0,0.0,355800.0
Canterbury,0.0,0.0,155713.0,146100.0,180780.0
Canton,129452.0,188935.0,242300.0,165733.0,160628.0
Chaplin,62556.0,144750.0,132161.0,0.0,146000.0
Cheshire,128390.0,0.0,221686.0,206770.0,187537.0
Chester,168536.0,324850.0,219371.0,331280.0,186082.0
Clinton,107153.0,178167.0,196209.0,179960.0,190091.0
Colchester,144551.0,189678.0,171246.0,160288.0,158214.0
Colebrook,0.0,0.0,190316.0,0.0,182767.0
Columbia,169989.0,0.0,172201.0,0.0,173167.0
Cornwall,367100.0,0.0,260621.0,0.0,245700.0
Coventry,108862.0,259100.0,156995.0,139433.0,206907.0
Cromwell,115777.0,157978.0,189355.0,174274.0,153209.0
Danbury,139786.0,285620.0,202698.0,231832.0,179119.0
Darien,318976.0,0.0,420396.0,0.0,373100.0
Deep River,100629.0,375480.0,199015.0,167930.0,201236.0
Derby,109221.0,178104.0,152758.0,142844.0,135581.0
Durham,143671.0,0.0,226990.0,0.0,221492.0
East Granby,111727.0,0.0,190424.0,0.0,160120.0
East Haddam,149237.0,0.0,174714.0,192585.0,177125.0
East Hampton,113496.0,170190.0,181156.0,162750.0,168403.0
East Hartford,76034.0,146939.0,110495.0,126112.0,123182.0
East Haven,121757.0,323690.0,152339.0,204639.0,166617.0
East Lyme,141372.0,196000.0,218502.0,217315.0,175860.0
East Windsor,112256.0,128637.0,131880.0,118555.0,129408.0
Eastford,113688.0,0.0,151861.0,0.0,0.0
Easton,307805.0,0.0,377768.0,0.0,368490.0
Ellington,105019.0,183725.0,203807.0,184530.0,168341.0
Enfield,117449.0,137910.0,131963.0,144798.0,131582.0
Essex,163618.0,0.0,251905.0,268850.0,292489.0
Fairfield,268731.0,338118.0,336386.0,312675.0,274305.0
Farmington,138773.0,236706.0,233010.0,201533.0,197202.0
Franklin,0.0,0.0,152809.0,0.0,0.0
Glastonbury,133404.0,271878.0,247405.0,249800.0,197889.0
Goshen,119541.0,0.0,227421.0,0.0,221640.0
Granby,129047.0,0.0,209106.0,150500.0,155022.0
Greenwich,349009.0,326480.0,409589.0,386384.0,390404.0
Griswold,75084.0,159705.0,147195.0,131832.0,119881.0
Groton,109422.0,228755.0,174312.0,208663.0,137919.0
Guilford,138633.0,0.0,263405.0,0.0,232892.0
Haddam,167593.0,0.0,211841.0,219478.0,199252.0
Hamden,107433.0,177625.0,166349.0,160823.0,140047.0
Hampton,0.0,192010.0,147474.0,0.0,129564.0
Hartford,32047.0,110434.0,51058.0,56515.0,55264.0
Hartland,0.0,0.0,175208.0,0.0,0.0
Harwinton,204533.0,0.0,184205.0,0.0,194120.0
Hebron,136040.0,195160.0,199740.0,0.0,170254.0
Kent,121701.0,0.0,240933.0,158100.0,241583.0
Killingly,92965.0,141790.0,120618.0,112920.0,97443.0
Killingworth,237490.0,0.0,224541.0,0.0,301455.0
Lebanon,93030.0,206800.0,155217.0,138370.0,168947.0
Ledyard,73640.0,0.0,165227.0,245000.0,129938.0
Lisbon,110495.0,0.0,145117.0,0.0,116707.0
Litchfield,186785.0,181560.0,198872.0,251840.0,176619.0
Lyme,376450.0,0.0,276594.0,0.0,0.0
Madison,218727.0,0.0,292464.0,203200.0,387150.0
Manchester,91195.0,164819.0,142382.0,146388.0,137385.0
Mansfield,117267.0,255465.0,154923.0,221973.0,179656.0
Marlborough,154853.0,0.0,210555.0,0.0,180680.0
Meriden,82509.0,134676.0,123451.0,113478.0,104647.0
Middlebury,195491.0,0.0,222583.0,0.0,255835.0
Middlefield,162335.0,246200.0,186196.0,0.0,222873.0
Middletown,88967.0,157395.0,158772.0,129731.0,119245.0
Milford,158696.0,229180.0,225517.0,240684.0,230242.0
Monroe,169383.0,0.0,261513.0,296432.0,278648.0
Montville,77267.0,198105.0,139034.0,136685.0,135251.0
Morris,176493.0,0.0,210577.0,0.0,0.0
