town,Condo,Four Family,Single Family,Three Family,Two Family
Andover,0,0,435,0,4
Ansonia,85,34,1708,131,567
Ashford,22,0,556,0,12
Avon,1412,0,2506,2,2
Barkhamsted,0,0,526,1,3
Beacon Falls,234,0,668,2,9
Berlin,718,2,2557,9,100
Bethany,3,0,791,1,2
Bethel,1133,5,2150,9,140
Bethlehem,5,1,423,0,14
Bloomfield,586,0,2699,0,10
Bolton,1,0,802,0,7
Bozrah,0,0,281,0,5
Branford,2614,6,2727,28,153
Bridgeport,2989,193,6636,1374,2163
Bridgewater,15,0,187,0,0
Bristol,1813,43,7233,370,610
Brookfield,872,0,1981,0,5
Brooklyn,54,7,1309,7,18
Burlington,53,2,1855,1,19
Canaan,0,0,175,0,1
Canterbury,0,0,676,1,5
Canton,548,4,1451,3,47
Chaplin,9,2,283,0,3
Cheshire,1131,0,3767,1,11
Chester,16,1,551,1,8
Clinton,378,3,2042,5,33
Colchester,275,9,2067,8,41
Colebrook,0,0,227,0,3
Columbia,9,0,774,0,3
Cornwall,1,0,172,0,1
Coventry,133,1,2109,3,32
Cromwell,1476,5,1534,5,41
Danbury,5589,48,5435,187,511
Darien,122,0,472,0,1
Deep River,154,1,556,1,5
Derby,600,20,983,49,259
Durham,78,0,968,0,4
East Granby,268,0,974,0,5
East Haddam,54,0,1695,6,32
East Hampton,368,1,2187,6,48
East Hartford,789,57,5543,125,426
East Haven,1052,1,3085,13,128
East Lyme,869,1,2596,2,46
East Windsor,687,3,1381,10,54
Eastford,19,0,233,0,0
Easton,4,0,965,0,1
Ellington,522,2,1943,9,37
Enfield,1065,25,5023,32,159
Essex,243,0,1029,4,9
Fairfield,1215,4,5770,13,260
Farmington,2285,5,2791,13,44
Franklin,0,0,229,0,0
Glastonbury,1982,9,5283,7,89
Goshen,7,0,653,0,4
Granby,252,0,1866,2,5
Greenwich,1018,4,747,30,183
Griswold,174,10,1320,10,73
Groton,886,26,3552,16,189
Guilford,580,0,3107,0,12
Haddam,10,0,1261,4,14
Hamden,2093,26,7149,142,330
Hampton,0,1,264,0,5
Hartford,1382,47,3165,1793,1408
Hartland,0,0,251,0,0
Harwinton,12,0,848,0,1
Hebron,113,1,1258,0,8
Kent,96,0,346,2,6
Killingly,315,29,2655,59,185
Killingworth,3,0,999,0,4
Lebanon,1,1,1148,1,10
Ledyard,266,0,2624,1,4
Lisbon,2,0,525,0,7
Litchfield,206,1,1059,9,39
Lyme,2,0,309,0,0
Madison,473,0,2573,1,2
Manchester,1302,72,5957,42,577
Mansfield,552,2,1805,3,67
Marlborough,58,0,944,0,8
Meriden,1732,32,5888,241,537
Middlebury,391,0,938,0,19
Middlefield,68,1,583,0,11
Middletown,1996,41,4825,111,395
Milford,2237,1,6204,11,126
Monroe,740,0,3158,4,4
Montville,114,4,2481,4,36
Morris,6,0,369,0,0
Naugatuck,783,26,3786,104,265
New Britain,1132,81,4992,998,1347
New Canaan,413,0,161,3,12
New Fairfield,56,1,2135,1,6
New Hartford,103,0,1052,4,24
New Haven,2268,187,3858,1382,1888
New London,552,46,1771,143,473
New Milford,1143,10,3621,14,38
Newington,2239,1,3948,6,52
Newtown,426,0,3980,1,1
Norfolk,9,0,207,1,4
North Branford,350,0,1584,0,12
North Canaan,32,1,349,4,10
North Haven,493,1,3667,2,10
North Stonington,3,0,751,0,7
Norwalk,4956,29,6588,89,651
Norwich,1079,77,3727,143,459
Old Lyme,72,0,1580,2,3
Old Saybrook,348,0,1855,2,7
Orange,106,0,1716,0,2
Oxford,478,0,1596,0,13
Plainfield,139,33,2021,23,200
Plainville,920,5,2030,26,93
Plymouth,152,6,1462,35,63
Pomfret,4,0,518,1,5
Portland,246,14,1606,11,66
Preston,2,0,747,0,0
Prospect,328,0,1320,0,1
Putnam,356,28,1071,53,136
Redding,37,1,1000,1,20
Ridgefield,695,1,2488,1,1
Rocky Hill,1817,0,1471,1,29
Roxbury,0,0,213,0,0
Salem,57,0,627,0,5
Salisbury,66,1,484,1,10
Scotland,0,0,215,0,5
Seymour,553,10,2055,22,109
Sharon,29,1,388,0,4
Shelton,2136,1,4611,47,130
Sherman,0,0,560,0,0
Simsbury,1199,4,3549,3,15
Somers,119,1,1360,2,11
South Windsor,1567,2,3937,0,10
Southbury,2629,2,2136,2,67
Southington,1675,4,6220,19,236
Sprague,9,5,325,3,61
Stafford,211,11,1401,16,61
Stamford,7084,27,5490,136,658
Sterling,31,1,538,2,19
Stonington,522,2,2420,54,139
Stratford,2046,4,7483,96,322
Suffield,607,2,1964,7,40
Thomaston,268,5,846,4,30
Thompson,42,13,1371,9,71
Tolland,154,2,2265,2,39
Torrington,1149,25,4868,223,699
Trumbull,584,0,5212,2,37
Union,0,0,101,0,0
Vernon,1202,31,2874,43,140
Voluntown,0,0,376,0,1
Wallingford,2155,24,5333,99,327
Warren,0,0,201,0,0
Washington,41,0,378,4,8
Waterbury,2839,192,8228,1307,1132
Waterford,581,4,3299,4,31
Watertown,345,7,2829,30,118
West Hartford,2015,5,9547,142,434
West Haven,1219,26,4679,223,499
Westbrook,121,0,1110,3,22
Weston,7,0,633,0,0
Westport,227,0,894,3,12
Wethersfield,708,17,4370,7,84
Willington,55,2,612,2,10
Wilton,365,0,973,0,4
Winchester,196,30,1409,42,123
Windham,119,21,2360,119,197
Windsor,1074,3,4125,16,105
Windsor Locks,675,2,1847,8,82
Wolcott,281,1,2397,1,19
Woodbridge,10,1,1419,0,37
Woodbury,509,1,1204,0,8
Woodstock,123,0,1342,1,9
