town,Condo,Four Family,Single Family,Three Family,Two Family
Andover,0.0,0.0,265013.0,0.0,298875.0
Ansonia,151924.0,307222.0,222246.0,260443.0,240258.0
Ashford,67316.0,0.0,224598.0,0.0,248431.0
Avon,263532.0,0.0,414161.0,288000.0,271000.0
Barkhamsted,0.0,0.0,273017.0,260000.0,256667.0
Beacon Falls,247137.0,0.0,248322.0,295000.0,263651.0
Berlin,252569.0,347500.0,296348.0,259944.0,250628.0
Bethany,382000.0,0.0,358923.0,265000.0,320000.0
Bethel,332794.0,373000.0,367644.0,399800.0,354339.0
Bethlehem,309800.0,185000.0,329379.0,0.0,336704.0
Bloomfield,276550.0,0.0,245848.0,0.0,231195.0
Bolton,398500.0,0.0,300294.0,0.0,262557.0
Bozrah,0.0,0.0,236025.0,0.0,173760.0
Branford,192274.0,400167.0,340445.0,369871.0,324595.0
Bridgeport,133748.0,318791.0,219559.0,280009.0,248892.0
Bridgewater,225282.0,0.0,431244.0,0.0,0.0
Bristol,139068.0,232745.0,216483.0,234654.0,188070.0
Brookfield,257928.0,0.0,391107.0,0.0,327380.0
Brooklyn,193979.0,264414.0,241166.0,214114.0,180797.0
Burlington,225345.0,278250.0,359406.0,395000.0,265142.0
Canaan,0.0,0.0,289945.0,0.0,599000.0
Canterbury,0.0,0.0,240541.0,228000.0,248700.0
Canton,203109.0,330500.0,367150.0,394667.0,249768.0
Chaplin,120100.0,197500.0,213822.0,0.0,241592.0
Cheshire,226602.0,0.0,357186.0,239000.0,322779.0
Chester,305200.0,365000.0,341873.0,455000.0,318875.0
Clinton,169431.0,383000.0,297532.0,292658.0,301006.0
Colchester,226832.0,355222.0,265640.0,213875.0,221787.0
Colebrook,0.0,0.0,286281.0,0.0,224167.0
Columbia,240653.0,0.0,270264.0,0.0,197667.0
Cornwall,620000.0,0.0,356808.0,0.0,275000.0
Coventry,182516.0,400000.0,258567.0,196667.0,298984.0
Cromwell,188173.0,283000.0,302600.0,305114.0,244933.0
Danbury,279093.0,448003.0,331523.0,404453.0,338359.0
Darien,485740.0,0.0,583177.0,0.0,490000.0
Deep River,148023.0,450000.0,292375.0,200000.0,270400.0
Derby,167604.0,281510.0,235010.0,264136.0,221286.0
Durham,214833.0,0.0,330200.0,0.0,356250.0
East Granby,217266.0,0.0,296167.0,0.0,221720.0
East Haddam,252871.0,0.0,283984.0,318417.0,271365.0
East Hampton,194867.0,322500.0,281428.0,223097.0,237408.0
East Hartford,114273.0,236638.0,165235.0,184904.0,185131.0
East Haven,175972.0,340000.0,224173.0,296077.0,255448.0
East Lyme,239027.0,305000.0,335508.0,255000.0,273452.0
East Windsor,194821.0,331833.0,232876.0,237400.0,209286.0
Eastford,213400.0,0.0,254786.0,0.0,0.0
Easton,485500.0,0.0,528093.0,0.0,585000.0
Ellington,200985.0,342500.0,319685.0,279444.0,268736.0
Enfield,170105.0,197761.0,200436.0,204190.0,200056.0
Essex,266757.0,0.0,381338.0,415375.0,431111.0
Fairfield,379054.0,623750.0,474483.0,456470.0,417788.0
Farmington,226226.0,443000.0,367589.0,376569.0,307753.0
Franklin,0.0,0.0,253537.0,0.0,0.0
Glastonbury,214287.0,391833.0,381773.0,449143.0,302757.0
Goshen,265857.0,0.0,353547.0,0.0,330146.0
Granby,240396.0,0.0,328334.0,265000.0,276000.0
Greenwich,496103.0,533750.0,569684.0,567882.0,568150.0
Griswold,175166.0,257290.0,221151.0,191535.0,181027.0
Groton,163385.0,350696.0,268217.0,307706.0,202421.0
Guilford,216506.0,0.0,406806.0,0.0,420853.0
Haddam,233300.0,0.0,321423.0,311750.0,273279.0
Hamden,161408.0,302628.0,251256.0,258685.0,228798.0
Hampton,0.0,205450.0,250769.0,0.0,223980.0
Hartford,103297.0,183514.0,156245.0,167108.0,166735.0
Hartland,0.0,0.0,262433.0,0.0,0.0
Harwinton,312897.0,0.0,291146.0,0.0,325000.0
Hebron,233800.0,221400.0,296471.0,0.0,280938.0
Kent,200650.0,0.0,375734.0,227500.0,389433.0
Killingly,168382.0,242764.0,209411.0,228872.0,175828.0
Killingworth,316667.0,0.0,322096.0,0.0,408131.0
Lebanon,163500.0,230000.0,255499.0,203000.0,241290.0
Ledyard,115614.0,0.0,255127.0,345000.0,169250.0
Lisbon,154900.0,0.0,228644.0,0.0,176571.0
Litchfield,333707.0,290000.0,322820.0,400000.0,277519.0
Lyme,579000.0,0.0,404006.0,0.0,0.0
Madison,322505.0,0.0,426332.0,245000.0,467500.0
Manchester,135446.0,267433.0,214149.0,241126.0,209625.0
Mansfield,193310.0,300000.0,242555.0,300667.0,291464.0
Marlborough,228389.0,0.0,307055.0,0.0,267050.0
Meriden,123976.0,224197.0,189684.0,175873.0,164273.0
Middlebury,394933.0,0.0,332583.0,0.0,343411.0
Middlefield,284893.0,319000.0,284388.0,0.0,321591.0
Middletown,146758.0,299847.0,255555.0,226821.0,207729.0
Milford,224772.0,375000.0,326114.0,331931.0,336071.0
Monroe,259487.0,0.0,394550.0,447625.0,391050.0
Montville,117620.0,415250.0,215950.0,243250.0,206478.0
Morris,244167.0,0.0,336641.0,0.0,0.0
Naugatuck,114223.0,287452.0,212428.0,232010.0,196023.0
New Britain,111391.0,234621.0,168905.0,218865.0,196925.0
New Canaan,426290.0,0.0,598425.0,519146.0,639738.0
New Fairfield,285733.0,450000.0,369000.0,475000.0,451167.0
New Hartford,120135.0,0.0,291288.0,248580.0,195398.0
New Haven,194099.0,320529.0,237865.0,276438.0,233463.0
